book a spot for 3 in mt	O O O O B-party_size_number O B-state
book in west palm beach for glenda  lois and tamra at a nearby restaurant serving puglia	O O B-city I-city I-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-spatial_relation B-restaurant_type O B-cuisine
book a bar table for tonight for rajasthani food	O O B-restaurant_type O O B-timeRange O B-cuisine O
where can i book a table close to me in moon run at sixteen o clock that will take three people	O O O O O O B-spatial_relation O O O B-city I-city O B-timeRange I-timeRange I-timeRange O O O B-party_size_number O
book a table for eight this month in maldives	O O O O B-party_size_number B-timeRange I-timeRange O B-country
i want to find a restaurant to eat at in westernport	O O O O O B-restaurant_type O O O O B-city
i d like reservations for me and my grandkid at a top-rated restaurant that serves molise cuisine in pa	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-sort B-restaurant_type O O B-cuisine O O B-state
book a restaurant within the same area as saratoga av	O O B-restaurant_type B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi
i want a table for 9 at the taverna pub	O O O O O B-party_size_number O O B-cuisine B-restaurant_type
book a table at central grocery on mar  22nd  2020	O O O O B-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange
book a brasserie in the falkland islands for this week	O O B-restaurant_type O O B-country I-country O B-timeRange I-timeRange
book a bar in holtville nd for 7 people	O O B-restaurant_type O B-city B-state O B-party_size_number O
i need a table for nine in atlas in 1 second	O O O O O B-party_size_number O B-city B-timeRange I-timeRange I-timeRange
book a joint in sixteen minutes  for 9	O O B-restaurant_type B-timeRange I-timeRange I-timeRange O B-party_size_number
book a table in fullerville at a highly rated bar	O O O O B-city O O B-sort I-sort B-restaurant_type
book reservations at a restaurant in mi seven weeks from now	O O O O B-restaurant_type O B-state B-timeRange I-timeRange I-timeRange I-timeRange
make me a reservation for elvira and i in brazil	O O O O O B-party_size_description I-party_size_description I-party_size_description O B-country
make me a reservation somewhere near here for me and my step brother by adeline s apartment	O O O O O B-spatial_relation O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description O B-poi I-poi I-poi
book a spot for ten in ms	O O O O B-party_size_number O B-state
table at nankin cafe fr one	O O B-restaurant_name I-restaurant_name O B-party_size_number
book a spot for 10 in the same area  of inwood - 207th st	O O O O B-party_size_number B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-poi I-poi I-poi I-poi
i want to book reservations for 8 at an indoor restaurant	O O O O O O B-party_size_number O O B-facility B-restaurant_type
need book a restaurant for this autumn in illinois	O O O B-restaurant_type O B-timeRange I-timeRange O B-state
book me seats for 6 at a restaurant in wv in one second	O O O O B-party_size_number O O B-restaurant_type O B-state B-timeRange I-timeRange I-timeRange
book a tavern in rhode island that serves saucisse	O O B-restaurant_type O B-state I-state O O B-served_dish
book a bar with mediterranean food for three people	O O B-restaurant_type O B-cuisine O O B-party_size_number O
i d like to eat at a restaurant one minute from now that s highly rated	O O O O O O O B-restaurant_type B-timeRange I-timeRange I-timeRange I-timeRange O O B-sort I-sort
i need to book a restaurant in burkettsville in 2 years  for rhoda adams  roxanne and i	O O O O O B-restaurant_type O B-city B-timeRange I-timeRange I-timeRange O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
make reservations for me at a taverna in hong kong	O O O O O O B-restaurant_type O B-country I-country
book a restaurant in montverde in marshall islands	O O B-restaurant_type O B-city O B-state I-state
book a table for 4 at fish express	O O O O B-party_size_number O B-restaurant_name I-restaurant_name
i want to go to the freight house in gabon	O O O O O O B-restaurant_name I-restaurant_name O B-country
book a table at black rapids roadhouse in antarctica for nine	O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-country O B-party_size_number
book mars 2112 in rwanda for 4 people	O B-restaurant_name I-restaurant_name O B-country O B-party_size_number O
book a reservation for a popular restaurant in federated states of micronesia	O O O O O B-sort B-restaurant_type O B-state I-state I-state I-state
book a spot for six on october fifth in mineola	O O O O B-party_size_number O B-timeRange I-timeRange O B-city
please book a restaurant room which serves hangtown fry dish in jagual	O O O B-restaurant_type O O O B-served_dish I-served_dish O O B-city
book in southern shores for 8 at ariston cafe	O O B-city I-city O B-party_size_number O B-restaurant_name I-restaurant_name
book a spot for 8 at a popular taverna	O O O O B-party_size_number O O B-sort B-restaurant_type
i want a table for 5 next fall om curacao	O O O O O B-party_size_number B-timeRange I-timeRange O B-country
please book me a table at a food court faraway from saint kitts and nevis	O O O O O O O B-restaurant_type I-restaurant_type B-spatial_relation O B-country I-country I-country I-country
can you get me seating for a party of 4	O O O O O O O O O B-party_size_number
my sons and i want to dine at the water club in georgia	B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O O O B-restaurant_name I-restaurant_name I-restaurant_name O B-state
book a food court indoor at penermon for my step father and i	O O B-restaurant_type I-restaurant_type B-facility O B-city O B-party_size_description I-party_size_description I-party_size_description I-party_size_description I-party_size_description
bar restaurant for november the twelfth  2030 that is popular and for a party of ten	B-restaurant_type I-restaurant_type O B-timeRange I-timeRange I-timeRange I-timeRange O O B-sort O O O O O B-party_size_number
book a table at a brasserie type restaurant that serves jain for a party of 8	O O O O O B-restaurant_type O B-restaurant_type O O B-cuisine O O O O B-party_size_number
book a brasserie that serves mezzes in iowa	O O B-restaurant_type O O B-served_dish O B-state
i need a table for 6 to eat at nearby in clinchco	O O O O O B-party_size_number O O O B-spatial_relation O B-city
at 8 am i want to eat at the rosebud in the federated states of micronesia	O B-timeRange I-timeRange O O O O O B-restaurant_name I-restaurant_name O O B-state I-state I-state I-state
book a table for six at the cherry street tavern for january sixteenth  2024	O O O O B-party_size_number O B-restaurant_name I-restaurant_name I-restaurant_name I-restaurant_name O B-timeRange I-timeRange I-timeRange
find me a table at a javanese brasserie	O O O O O O B-cuisine B-restaurant_type
book a spot for 1 at a bakery with crab cake not far from new jersey	O O O O B-party_size_number O O B-restaurant_type O B-served_dish I-served_dish B-spatial_relation I-spatial_relation O B-state I-state
please book a room in the river café restaurant  to accommodate eight members in andorra	O O O O O B-restaurant_name I-restaurant_name I-restaurant_name B-restaurant_type O O B-party_size_number O O B-country
need to book a table at a fast food restaurant for a party of nine on november seventeenth  2019	O O O O O O O B-restaurant_type I-restaurant_type O O O O O B-party_size_number O B-timeRange I-timeRange I-timeRange
book a bakery with smoking room for nine in niger	O O B-restaurant_type O B-facility I-facility O B-party_size_number O B-country
book a table at dillard house in exell  ia	O O O O B-restaurant_name I-restaurant_name O B-city B-state
book a table over the internet for six at a food truck in vanuatu for two pm	O O O O O B-facility O B-party_size_number O O B-restaurant_type I-restaurant_type O B-country O B-timeRange I-timeRange
book a brasserie type restaurant that serves pizzas in american samoa	O O B-restaurant_type O B-restaurant_type O O B-served_dish O B-state I-state
i need to find a restaurant in pw	O O O O O B-restaurant_type O B-state
book something at a highly rated and distant cafe in kazakhstan for two on april 21	O O O O B-sort I-sort O B-spatial_relation B-restaurant_type O B-country O B-party_size_number O B-timeRange I-timeRange
book in falkland islands at atomic cafe	O O B-country I-country O B-restaurant_name I-restaurant_name
can you get seating for my father and i at a restaurant in birch run	O O O O O B-party_size_description I-party_size_description I-party_size_description I-party_size_description O O B-restaurant_type O B-city I-city
book a table for 5 people in goodland  ak	O O O O B-party_size_number O O B-city B-state
book a brazilian diner for 9 that s highly rated within the same area as comoros	O O B-cuisine B-restaurant_type O B-party_size_number O O B-sort I-sort B-spatial_relation I-spatial_relation I-spatial_relation I-spatial_relation O B-country
book a restaurant with a spa in connecticut	O O B-restaurant_type O O B-facility O B-state
i want to check out a pub that has internet in homer city	O O O O O O B-restaurant_type O O B-facility O B-city I-city
i need to book a restaurant at supper time in il	O O O O O B-restaurant_type O B-timeRange O O B-state
i need a table for four at a restaurant in al	O O O O O B-party_size_number O O B-restaurant_type O B-state
book a food truck that is highly rated in honduras	O O B-restaurant_type I-restaurant_type O O B-sort I-sort O B-country
